sentence_id,bertscore_my,bertscore_ref,rougeL_my,rougeL_ref,bleu_my,bleu_ref,emotion_my,emotion_ref,novelty_my,novelty_ref,score_my,score_ref,winner
1,84.02097821235657,73.18005561828613,60.46511627906976,19.327731092436977,29.489871457593875,1.313769152160638,0.9994005745913986,0.9998836560989568,7.6923076923076925,52.63157894736842,64.70734155083306,50.90343034855468,1
1,78.97738814353943,73.18005561828613,42.14046822742476,19.327731092436977,15.168971187228253,1.313769152160638,0.9999203184663067,0.9998836560989568,37.5,52.63157894736842,59.20135336217383,50.90343034855468,1
1,79.37619686126709,73.18005561828613,42.281879194630875,19.327731092436977,17.648841502600096,1.313769152160638,0.9998965706110454,0.9998836560989568,35.0,52.63157894736842,59.4979134846569,50.90343034855468,1
1,68.34157705307007,73.18005561828613,8.955223880597016,19.327731092436977,0.0,1.313769152160638,0.9998559904862588,0.9998836560989568,22.22222222222222,52.63157894736842,43.378420018239886,50.90343034855468,0
2,85.76550483703613,71.82090282440186,52.20338983050847,14.14141414141414,29.534134210492795,0.9755452726540798,0.30625247234637554,0.13635070197362043,54.71698113207547,53.333333333333336,57.56437948056686,36.19759517772994,1
2,82.57657289505005,71.82090282440186,46.44194756554307,14.14141414141414,19.91868313992238,0.9755452726540798,0.9992140407165213,0.13635347945443488,43.90243902439025,53.333333333333336,62.87854438882847,36.197636839942156,1
2,66.12552404403687,71.82090282440186,10.471204188481675,14.14141414141414,0.0,0.9755452726540798,0.8938884639313114,0.136354860662401,55.55555555555556,53.333333333333336,44.72561697705855,36.19765755806165,1
2,83.63237380981445,71.82090282440186,53.19865319865319,14.14141414141414,31.731618286124814,0.9755452726540798,0.996002297283491,0.136354860662401,50.0,53.333333333333336,67.27077133526944,36.19765755806165,1
3,85.49357652664185,73.20444583892822,62.00607902735562,16.260162601626014,40.09665100507944,0.6016230830291246,0.40424949148600153,0.14984201072603764,16.9811320754717,45.45454545454545,59.20062477176266,36.56992486283086,1
3,85.70199608802795,73.20444583892822,60.45197740112995,16.260162601626014,41.39722664860971,0.6016230830291246,0.8622033865907459,0.14984201072603764,18.333333333333332,45.45454545454545,66.08466111057824,36.56992486283086,1
3,82.56804347038269,73.20444583892822,49.24012158054712,16.260162601626014,25.52061683421409,0.6016230830291246,0.6540354538657734,0.14984201072603764,27.083333333333332,45.45454545454545,57.55580327622277,36.56992486283086,1
3,75.00336766242981,73.20444583892822,24.999999999999996,16.260162601626014,1.5607953742529852,0.6016230830291246,0.3937228154588045,0.14984201072603764,23.52941176470588,45.45454545454545,40.99408139634104,36.56992486283086,1
4,86.1211895942688,76.11947059631348,55.284552845528445,28.571428571428577,26.20587262334537,6.3584912467183505,0.9654129569012834,0.31631849574850746,23.809523809523807,33.33333333333333,64.75658219734963,42.81655630813557,1
4,79.4950544834137,76.11947059631348,37.795275590551185,28.571428571428577,16.4663060221502,6.3584912467183505,0.9968734377491335,0.31631849574850746,34.78260869565217,33.33333333333333,58.17339630595734,42.81655630813557,1
4,78.43890190124512,76.11947059631348,32.20338983050847,28.571428571428577,14.58102316464057,6.3584912467183505,0.159235530392566,0.31631849574850746,30.0,33.33333333333333,43.08014955364749,42.81655630813557,1
4,79.97325658798218,76.11947059631348,32.14285714285714,28.571428571428577,11.40872353336758,6.3584912467183505,0.8534314229643365,0.31631849574850746,27.77777777777778,33.33333333333333,53.316911743756,42.81655630813557,1
5,85.102379322052,70.71279883384705,51.11111111111112,23.880597014925375,16.12218661513639,4.244226074774614,0.4427160857016198,0.992410907430204,21.052631578947366,37.5,53.727942976185474,49.99242636824707,1
5,78.82423400878906,70.71279883384705,35.61643835616438,23.880597014925375,0.0,4.244226074774614,0.10575125794882434,0.992410907430204,9.090909090909092,37.5,38.98795127044054,49.99242636824707,0
5,77.8626799583435,70.71279883384705,28.571428571428577,23.880597014925375,0.0,4.244226074774614,0.15465241075445935,0.992410907430204,20.0,37.5,38.714581289594264,49.99242636824707,0
5,79.47444319725037,70.71279883384705,37.89473684210526,23.880597014925375,0.0,4.244226074774614,0.992270297967417,0.992410907430204,38.88888888888889,37.5,56.062682687964084,49.99242636824707,1
